question,user query
When was contribution of sales of sub category lowest,When was the sub-category's least sales contribution?
When was contribution of sales of sub category lowest,When did the sub-category record its lowest sales contribution?
When was contribution of sales of sub category lowest,When was the sub-category's minimum sales contribution?
When was contribution of sales of phone lowest,When did phone sales contribute the least?
When was contribution of sales of phone lowest,Lowest contribution of phone sales occurred when?
When was contribution of sales of phone lowest,When was the minimum contribution from phone sales?
When was contribution of sales of phone lowest,At what time was the phone sales contribution at its lowest?
When was contribution of sales of phone lowest,When did phone sales have the smallest contribution?
When was contribution of sales of phone lowest,When was the least contribution from phone sales?
When was contribution of sales of phone lowest,When did the lowest phone sales contribution happen?
When was contribution of sales of phone lowest,When was the smallest contribution of phone sales?
When was contribution of sales of phone lowest,When did the minimum phone sales contribution occur?
When was contribution of sales of phone lowest,At which point was the contribution of phone sales lowest?
What is the trend of contribution of phone sales in 2020,What's the 2020 trend for phone sales contributions?
What is the trend of contribution of phone sales in 2020,"In 2020, how did phone sales contributions trend?"
